symbol,address,city,zip,country,phone,website,industry,industryKey,sector,sectorKey,longBusinessSummary,fullTimeEmployees,auditRisk,boardRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,irWebsite,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,regularMarketVolume,averageVolume,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,allTimeHigh,allTimeLow,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,fitytwoWeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,quoteType,currentPrice,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,region,typeDisp,quoteSourceName,customPriceAlertConfidence,shortName,longName,postMarketChangePercent,fullExchangeName,averageDailyVolume3Month,exchange,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,sourceInterval,averageAnalystRating,cryptoTradeable,displayName,trailingPegRatio
A,5301 Stevens Creek Boulevard,Santa Clara,95051,United States,800 227 9770,https://www.agilent.com,Diagnostics & Research,diagnostics-research,Healthcare,healthcare,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The company operates through three segments: Life Sciences and Diagnostics Markets, Agilent CrossLab, and Applied Markets. The Life Sciences and Diagnostics Markets segment offers liquid chromatography systems and components; and liquid chromatography mass spectrometry systems. This segment is also involved in the genomics, contract development and manufacturing organization, pathology, companion diagnostics, and biomolecular analysis businesses. The Agilent CrossLab segment provides various services, including repairs, parts, maintenance, installations, training, compliance support, software as a service, asset management, consulting, and other custom services. This segment also offers consumables, including gas chromatography and liquid chromatography columns, sample preparation products, custom chemistries, and various laboratory supplies; software and informatics solutions comprising software for instrument control, data acquisition, data analysis, secure storage of results, and laboratory information and workflow management; and OpenLab laboratory software, an open software platform that enables customers to capture, analyze, and share scientific data throughout the lab and across the enterprise. In addition, it provides automated sample preparation solutions, such as liquid handling, plate management, consumables, and scheduling software. The Applied Markets segment offers products in the areas of gas chromatography, mass spectrometry, spectroscopy, vacuum technology, and remarketed instruments. It markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. Agilent Technologies, Inc. was incorporated in 1999 and is headquartered in Santa Clara, California.",18000.0,8.0,3.0,6.0,5.0,1775001600.0,http://www.investor.agilent.com/phoenix.zhtml?c=103274&p=irol-irhome,1.02,0.86,1774915200.0,0.22049999,0.67,1.303,26.705296,18.37928,462518.0,2205472.0,1573300.0,,99.12,160.27,179.57,7.51073,,118.7126,129.7443,0.999,0.008448203,USD,35209723904.0,0.18259001,281644295.0,,4547639.0,4555365.0,1772150400.0,1774915200.0,0.0161,0.0018799999,0.93741,1.93,0.0183,,24.436,4.9506874,1761868800.0,1793404800.0,1769817600.0,-0.041,1290000000.0,4.53,6.58214,1398:1000,1414972800.0,4.984,17.864,,0.36506534,0.255,1774915200.0,EQUITY,120.975,buy,16.0,1758000000.0,6.221,1971000064.0,3550000128.0,1.468,2.066,7064999936.0,51.39,24.921,0.08533,0.19945998,3695000064.0,855875008.0,1396000000.0,-0.036,0.07,0.523,0.27898002,0.22859,USD,US,Equity,Nasdaq Real Time Price,HIGH,,,,NYSE,2205472.0,NYQ,America/New_York,EDT,-14400000.0,us_market,21.854996,0.22049026,99.12 - 160.27,-39.295006,-0.24518004,17.943346,4.53,6.58214,5.96965,20.265007,2.2623978,0.019057773,-8.769295,-0.06758906,15.0,1.7 - Buy,False,Agilent,1.2365
AAL,1 Skyview Drive,Fort Worth,76155,United States,682 278 9000,https://www.aa.com,Airlines,airlines,Industrials,industrials,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier in the United States, Latin America, Atlantic, and Pacific. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Doha, Madrid, Seattle/Tacoma, Sydney, and Tokyo. It also operates a mainline fleet of 1,013 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1926 and is headquartered in Fort Worth, Texas.",139100.0,5.0,1.0,4.0,2.0,1775001600.0,,,,1580774400.0,0.0,1.27,1.248,77.13,5.429283,45608086.0,65005347.0,57004260.0,8657979392.0,8.96,16.5,63.27,1.45,0.15847526,12.121,12.92795,0.0,0.0,USD,38516936704.0,0.0020299999,650248134.0,660304573.0,74492898.0,50009224.0,1772150400.0,1774915200.0,0.112799995,0.01806,0.71315,0.9,0.11359999,660304573.0,-5.644,-2.3231926,1767139200.0,1798675200.0,1767139200.0,-0.832,111000000.0,0.17,2.41507,,,0.705,9.863,,0.36506534,0.1,1580774400.0,EQUITY,13.1121,buy,24.0,6469000192.0,9.797,3904999936.0,36884000768.0,0.349,0.498,54633000960.0,,82.782,0.01706,,12421000192.0,-706750016.0,3099000064.0,-0.831,0.025,0.22735001,0.07148,0.03622,USD,US,Equity,Nasdaq Real Time Price,HIGH,"American Airlines Group, Inc.",American Airlines Group Inc.,,NasdaqGS,65005347.0,NMS,America/New_York,EDT,-14400000.0,us_market,4.1520996,0.46340397,8.96 - 16.5,-3.3879004,-0.20532729,35.281147,0.17,2.41507,-0.1412,-92.86189,0.99109936,0.08176713,0.18414974,0.0142443115,15.0,2.2 - Buy,False,American Airlines,0.1075
AAP,4200 Six Forks Road,Raleigh,27609,United States,540 362 4911,https://www.AdvanceAutoParts.com,Auto Parts,auto-parts,Consumer Cyclical,consumer-cyclical,"Advance Auto Parts, Inc. provides automotive aftermarket parts. The company offers batteries and battery accessories; belts and hoses; brakes and brake pads; chassis parts; climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also provides air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluid; electrical wire and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives, and compounds; tire repair accessories; vent shades, mirrors, and exterior accessories; washes, waxes, and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oil; oil filters; part cleaners and treatments; and transmission fluid. Further, it provides battery and wiper installation; engine light scanning; electrical system testing, including batteries, starters, and alternators; oil and battery recycling; and loaner tool program services. The company serves professional installers and do-it-yourself customers. It operates stores and independently owned branded stores in the United States, Canada, Puerto Rico, the U.S. Virgin Islands, Mexico, and various Caribbean islands primarily under the Advance Auto Parts and Carquest trade brands. The company also offers its products online. The company was founded in 1929 and is based in Raleigh, North Carolina.",28274.0,8.0,3.0,1.0,1.0,1775001600.0,http://phx.corporate-ir.net/phoenix.zhtml?c=130560&p=irol-irhome,1.0,1.76,1775779200.0,0.885,2.93,1.071,51.269913,14.789864,360768.0,1811216.0,1332820.0,3495172864.0,30.84,70.0,244.55,12.33,0.4063682,53.4694,53.2333,1.0,0.017649135,USD,5941265920.0,0.0051200003,59657063.0,60329208.0,10556482.0,11433921.0,1772150400.0,1774915200.0,0.175,0.00751,1.26296,6.84,0.2838,60329208.0,36.633,1.5814977,1767398400.0,1798934400.0,1767398400.0,,68000000.0,1.13,3.91721,3:2,1127692800.0,0.691,12.561,,0.36506534,0.25,1775779200.0,EQUITY,57.935,hold,19.0,3123000064.0,51.963,473000000.0,5658999808.0,0.839,1.746,8600999936.0,257.461,143.589,0.011109999,0.031140001,3772999936.0,-260250000.0,-46000000.0,,-0.012,0.43867,0.05499,0.03396,USD,US,Equity,Nasdaq Real Time Price,HIGH,Advance Auto Parts Inc.,"Advance Auto Parts, Inc.",,NYSE,1811216.0,NYQ,America/New_York,EDT,-14400000.0,us_market,27.095001,0.87856686,30.84 - 70.0,-12.064999,-0.17235713,73.59068,1.13,3.91721,2.74391,21.11403,4.465603,0.083516985,4.701702,0.08832257,15.0,3.0 - Hold,False,Advance Auto Parts,1.4637
AAPL,One Apple Park Way,Cupertino,95014,United States,(408) 996-1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Technology,technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple Vision Pro, Apple TV, Apple Watch, Beats products, and HomePod, as well as Apple branded and third-party accessories. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV, which offers exclusive original content and live sports; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers and resellers. The company was formerly known as Apple Computer, Inc. and changed its name to Apple Inc. in January 2007. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",150000.0,2.0,1.0,1.0,1.0,1775001600.0,http://investor.apple.com/,1.04,0.39,1770595200.0,0.1304,0.51,1.109,34.359493,29.153118,25911653.0,46769181.0,40099560.0,3989604925440.0,189.81,288.62,288.62,0.049107,9.158515,260.6896,251.8297,1.03,0.0039104023,USD,3890614370304.0,0.27037,14656035251.0,14681140000.0,126771284.0,129553812.0,1772150400.0,1774915200.0,0.0086,0.0164,0.65292,3.11,0.0086,14697926000.0,5.998,45.255085,1758931200.0,1790467200.0,1766793600.0,0.159,117776998400.0,7.9,9.31084,4:1,1598832000.0,8.931,25.445,,0.36506534,0.26,1770595200.0,EQUITY,271.44,buy,40.0,66907000832.0,4.557,152901992448.0,90509000704.0,0.845,0.974,435617005568.0,102.63,29.305,0.24377,1.5202099,206157004800.0,106312753152.0,135471996928.0,0.183,0.157,0.47325,0.35099998,0.35374,USD,US,Equity,Nasdaq Real Time Price,HIGH,Apple Inc.,Apple Inc.,,NasdaqGS,46769181.0,NMS,America/New_York,EDT,-14400000.0,us_market,81.630005,0.43006167,189.81 - 288.62,-17.179993,-0.05952461,36.363636,7.9,9.31084,8.52422,31.843382,10.750397,0.0412383,19.610306,0.0778713,15.0,1.9 - Buy,False,Apple,2.3712
ABBV,1 North Waukegan Road,North Chicago,60064-6400,United States,847 932 7900,https://www.abbvie.com,Drug Manufacturers - General,drug-manufacturers-general,Healthcare,healthcare,"AbbVie Inc., a research-based biopharmaceutical company, engages in the research and development, manufacturing, commercializing, and sale of medicines and therapies worldwide. The company offers Skyrizi to treat autoimmune diseases; Rinvoq to treat inflammatory diseases; Imbruvica for the treatment of adult patients with blood cancers; Venclexta to treat blood cancers; Elahere to treat various cancer; and Epkinly to treat lymphoma; and Emrelis for the treatment of lung cancer. It also provides facial injectables, plastics and regenerative medicine, body contouring, and skincare products; botox Cosmetic for the treatment of glabellar lines, crow's feet, forehead lines, and platysma bands; Juvederm Collection to treat volume loss in the temples, undereye, cheeks, chin, lips and lower face; Vraylar to treat schizophrenia, bipolar disorder, and depressive disorder; Duodopa to treat Parkinson's disease; Ubrelvy to treat migraine; Qulipta for episodic and chronic migraine; and Vyalev for the treatment of motor fluctuations, as well as Botox Therapeutic to treat chronic migraine, overactive bladder, spasticity, cervical dystonia, and other conditions. In addition, the company offers Ozurdex for visual impairment; Lumigan/Ganfort and Alphagan/Combigan for the reduction of elevated intraocular pressure in patients with open angle glaucoma or ocular hypertension; and other eye care products, including Refresh/Optive, Xen, Durysta, and Restasis. Further, it provides Mavyret to treat chronic hepatitis C virus genotype 1-6 infection; Creon, a pancreatic enzyme therapy; and Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation. The company was incorporated in 2012 and is headquartered in North Chicago, Illinois.",57000.0,7.0,4.0,9.0,7.0,1775001600.0,,6.92,3.31,1776211200.0,2.7679,3.65,0.364,89.39195,13.1100445,2085761.0,7057350.0,5822870.0,373146943488.0,168.54,244.81,244.81,33.33,6.10116,219.274,217.23164,6.65,0.031819705,USD,432714645504.0,0.0691,1765057035.0,1768762377.0,20125180.0,21748668.0,1772150400.0,1774915200.0,0.0114,0.00117,0.76485,2.67,0.0127,1768762377.0,-1.85,-114.03513,1767139200.0,1798675200.0,1767139200.0,,4185999872.0,2.36,16.09186,,,7.075,14.792,,0.36506534,1.73,1776211200.0,EQUITY,210.965,buy,29.0,5256999936.0,2.973,29254000640.0,68400001024.0,0.412,0.671,61160001536.0,,34.573,0.09807,62.25,43803000832.0,18337748992.0,19029999616.0,,0.1,0.71620005,0.47832,0.34108,USD,US,Equity,Nasdaq Real Time Price,HIGH,AbbVie Inc.,AbbVie Inc.,,NYSE,7057350.0,NYQ,America/New_York,EDT,-14400000.0,us_market,42.425003,0.2517207,168.54 - 244.81,-33.845,-0.13825008,22.819698,2.36,16.09186,14.35596,14.695291,-8.309006,-0.037893254,-6.2666473,-0.028847765,15.0,1.8 - Buy,False,AbbVie,0.4772
ABC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,USD,US,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
ABMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,US,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
ABT,100 Abbott Park Road,Abbott Park,60064-6400,United States,224 667 6100,https://www.abbott.com,Medical Devices,medical-devices,Healthcare,healthcare,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The company offers generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, hypertriglyceridemia, Ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. It also provides laboratory and transfusion medicine systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion serology testing; molecular diagnostics polymerase chain reaction instrument systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, and detect and measure infectious agents; point of care systems; cartridges for testing blood gas, chemistry, electrolytes, coagulation, and immunoassay; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; and drug and alcohol test. In addition, the company offers pediatric and adult nutritional products and infant formula; rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; diabetes care products, such as glucose and blood glucose monitoring systems; and neuromodulation devices for the management of chronic pain and movement disorders. The company also provides cancer screening and diagnostic test products. The company was formerly known as Abbott Alkaloidal Company and changed its name to Abbott Laboratories in 1915. Abbott Laboratories was founded in 1888 and is based in Abbott Park, Illinois.",115000.0,9.0,6.0,2.0,5.0,1775001600.0,http://www.abbottinvestor.com/phoenix.zhtml?c=94004&p=irol-irhome,2.52,2.64,1776211200.0,0.67230004,1.77,,27.071428,15.9397335,6173421.0,12319557.0,11671230.0,167938359296.0,93.92,139.06,142.6,0.478711,3.7208836,108.2164,122.78535,1.81,0.018958835,USD,,0.13904999,1727135152.0,1737674869.0,23825745.0,18233629.0,1772150400.0,1774915200.0,0.0137,0.00541,0.81986,1.93,0.0153,1737682887.0,30.018,3.2195683,1767139200.0,1798675200.0,1774915200.0,-0.187,6252000256.0,3.57,6.06315,10000:4798,1357084800.0,,,,0.36506534,0.63,1776211200.0,EQUITY,96.645,buy,25.0,,,11708000256.0,,,,45134000128.0,26.787,25.924,,,25501999104.0,,,-0.197,0.078,0.56503,0.25941,0.12048,USD,US,Equity,Nasdaq Real Time Price,HIGH,Abbott Laboratories,Abbott Laboratories,,NYSE,12319557.0,NYQ,America/New_York,EDT,-14400000.0,us_market,2.7249985,0.029014038,93.92 - 139.06,-42.415,-0.30501223,-26.499344,3.57,6.06315,5.47739,17.644352,-11.5714035,-0.10692837,-26.14035,-0.21289471,15.0,1.7 - Buy,False,,1.3814
ACN,1 Grand Canal Square,Dublin,D02 P820,Ireland,353 1 646 2000,https://www.accenture.com,Information Technology Services,information-technology-services,Technology,technology,"Accenture plc provides strategy and consulting, industry X, song, and technology and operation services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It offers systems integration and application management; security; intelligent platform; infrastructure; software engineering; data, AI, cloud; and automation and global delivery services. The company also operates business processes for specific enterprise functions, including finance and accounting, sourcing and procurement, supply chain, marketing and sales, and human resources, as well as industry-specific services, such as platform trust and safety, banking, insurance, network and health services; and designs, manufactures, and assembles automation equipment, robotics, and other commercial hardware products. It serves communications, media, and technology; financial services; banking and capital markets, and insurance; health and public service; consumer goods, retail, travel services; industrial; life science; and chemicals, natural resources, energy, and utilities sectors. Accenture plc has collaboration with Amazon Web Services (AWS) to deliver transformative digital services to public sector, defense, and national security organizations. It has a collaboration with OpenAI to help enterprise clients unlock new levels of innovation and growth by bringing agentic AI systems. Accenture plc was founded in 1951 and is based in Dublin, Ireland.",786000.0,1.0,3.0,4.0,2.0,1775001600.0,http://investor.accenture.com/phoenix.zhtml?c=129731&p=irol-irhome,6.52,3.36,1775692800.0,0.5098,1.57,1.236,16.187706,13.246238,1307787.0,6864139.0,5369580.0,121542287360.0,177.5,325.71,417.37,11.3,1.6855047,206.0242,246.4251,6.37,0.03283505,USD,119610327040.0,0.10606,612717529.0,613939268.0,18236022.0,15229834.0,1772150400.0,1774915200.0,0.0297,0.0008,0.82957,2.33,0.0332,615435159.0,50.762,3.8905087,1756598400.0,1788134400.0,1772236800.0,0.021,7648264192.0,12.2,14.90914,,,1.659,9.392,,0.36506534,1.63,1775692800.0,EQUITY,197.49,buy,27.0,9405595648.0,15.32,12735312896.0,8347366912.0,1.2,1.336,72110325760.0,25.469,116.149,0.11163,0.24763,23094063104.0,12164313088.0,13080248320.0,0.04,0.083,0.32026002,0.17661,0.13819,USD,US,Equity,Nasdaq Real Time Price,HIGH,Accenture plc,Accenture plc,,NYSE,6864139.0,NYQ,America/New_York,EDT,-14400000.0,us_market,19.990005,0.11261975,177.5 - 325.71,-128.21999,-0.39366305,-30.523222,12.2,14.90914,13.87887,14.229545,-8.534195,-0.041423265,-48.93509,-0.19857998,15.0,1.9 - Buy,False,Accenture,1.496
ADBE,345 Park Avenue,San Jose,95110-2704,United States,408 536 6000,https://www.adobe.com,Software - Application,software-application,Technology,technology,"Adobe Inc. operates as a technology company worldwide. The Digital Media segment offers products and services that enable individuals, teams, and enterprises to create, publish, and promote content. This segment serves photographers, video editors, graphic and experience designers, game developers, content creators, students, marketers, business owners, knowledge workers, and consumers. The Digital Experience segment provides an integrated platform; and products, services, and solutions that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, and executives across the C-suite. The Publishing and Advertising segment offers e-learning, technical document publishing, web conferencing, document and forms platform, web application development, printing, and Adobe Advertising solutions. It also provides consulting, training, customer management, technical support, and learning services. The company offers its solutions to enterprise customers, and businesses and consumers; and licenses its products to end-user customers through app stores and website at adobe.com. It markets and distributes its products through distributors, retailers, software developers, mobile app stores, systems integrators, independent software vendors, value-added resellers, and original equipment and hardware manufacturers. The company has a strategic alliance with HUMAIN for the development of generative AI models and AI-powered applications. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. Adobe Inc. was founded in 1982 and is headquartered in San Jose, California.",31360.0,1.0,5.0,1.0,6.0,1775001600.0,http://www.adobe.com/aboutadobe/invrelations/,,,1111622400.0,0.0,0.12,1.518,14.326733,9.327997,2484227.0,5910378.0,4879280.0,100274610176.0,224.13,422.95,699.54,0.207031,4.100708,254.7578,321.2761,0.0,0.0,USD,100075249664.0,0.29477,402882308.0,404200000.0,12196046.0,14296921.0,1772150400.0,1774915200.0,0.030199999,0.0025,0.88221,1.97,0.0337,407636919.0,28.16,8.73544,1764288000.0,1795824000.0,1772150400.0,0.043,7208000000.0,17.17,26.37115,2:1,1116892800.0,4.093,10.517,,0.36506534,0.0065,1111622400.0,EQUITY,245.99,buy,34.0,6898999808.0,17.068,9516000256.0,6670000128.0,0.789,0.912,24452999168.0,58.34,58.263,0.18905,0.58774,21859999744.0,9321374720.0,10506999808.0,0.111,0.12,0.89396006,0.38915002,0.38762,USD,US,Equity,Nasdaq Real Time Price,HIGH,Adobe Inc.,Adobe Inc.,,NasdaqGS,5910378.0,NMS,America/New_York,EDT,-14400000.0,us_market,21.86,0.09753268,224.13 - 422.95,-176.96,-0.41839463,-27.69652,17.17,26.37115,23.48511,10.474297,-8.767792,-0.034416188,-75.28609,-0.23433454,15.0,2.4 - Buy,False,Adobe,0.7046
