"title","averageStar","quantity","tradeAmount","wishedCount"
"Mesh Litter Spatula Poop Remover Pet Cleaning Supplies Large Litter Spatula Tofu Litter Litter Box Cat Poop","0.0","9993","5 sold","0"
"Rechargeable Mini Pet Communication Small Recording Button Cats Dogs Eating Speaking Voice Speaker Buttons Talk Training Ringing","5.0","1986","28 sold","64"
"Dog Cooling Bed Mat Summer Puppy Cushion Soft Non-slip Pet Sleeping Mats for Small Medium Dogs Pet Accessories","4.5","529","20 sold","38"
"Automatic Pet Feeder with Active RFID Technology Prevents Food Stealing Perfect for Prescription Diets Schedules Meals","0.0","10","0 sold","1"
"Replace Plush Cat Toy Accessories Worms Replacement Head Funny Cat Stick Pet Toys 5/10/6/11 Pcs","4.9","102222","1,000+ sold","418"
"Pet Bell Cute Color 22mm Paint Christmas Decorations Keychain Charming Key Chain Accessories Candy Colors Colorful Bells","4.6","28","46 sold","25"
"Dog Bed Super Soft Washable Four Seasons Common Pet Kennel Deep Sleep Dog House Velvet Mats Sofa Pet Cat Bed for Dog Basket","0.0","240","0 sold","1"
"Cats and Dogs Pet Plush Dinosaur Toys Interactive Dog Chew Toys Plush Stuffing Pet Supplies Dog Toys for Small Dogs","5.0","78","98 sold","85"
"Dog Toys Pet Flying Disk Training Ring Puller Anti-Bite Floating Interactive Supplies Dog Toys Aggressive Chewing","4.8","1903","1,000+ sold","572"
"3 in 1 Dog Steamer Brush Electric Spray Cat Hair Brush Comb Massage Pet Grooming Remove Tangles and Loose Hair Supplies Steamy","4.7","912","2,000+ sold","1187"
"Non-slip Cat Litter Mat With Gift Waterproof Double Layer Pet Litter Box Mat Sand Cat Pad Bed Mat Clean Pad Cat Accessories","4.8","275","445 sold","901"
"Dog Collapsible Bowl Folding Silicone Pet Travel Bowls Food Water Feeding BPA Free Foldable Cup Dish With Carabiner","4.9","69902","129 sold","146"
"Pet Dog Cat Paw Print Ink Kit Pad Baby Handprint Footprint Safe Non-toxic Mess-free DIY Hand Footprint Easy Clean Pet Souvenir","4.7","918","500+ sold","411"
"Personalized Collar Pet ID Tag Custom Free Engraved Cat Dog Puppy Name Necklace Gold Paw Glitter Pendant Pet Accessories 3CM","4.6","7883","69 sold","93"
"Electric Cat Toy Fish Pet Cat Toys Simulation Fish Swing Kitten Dance Fish Toy Funny Cats Chewing Playing Supplies USB Charging","4.7","244","2,000+ sold","1694"
"Pets Stainless Steel Grooming Brush Two-Sided Shedding and Dematting Undercoat Rake Comb for Dog Cat Remove Knots Tangles Easily","4.8","449","1,000+ sold","2464"
"Reusable Dog Pee Pad Blanket Absorbent Diaper Washable Puppy Training Pad Pet Bed Urine Mat for Pet Car Seat Cover Pet Supplies","4.7","3415","1,000+ sold","2350"
"LED Glowing Dog Collars Rechargeable Waterproof Luminous Collar Adjustable Dog Night Light Collar Pet Dog Safety Necklace","4.6","122354","251 sold","275"
"Wooden Space Clear Capsule Holder DIY Modern Cat Shelves Hammock Pets Bed","0.0","2","1 sold","3"
"With 4 Way Lock Security Flap Door Dog Cat Flap Door For Dog Cat Kitten Cat Puppy Safety Gate Small Pet Supplies ABS Plastic","0.0","593","1 sold","0"
"Disposable Pet Poop Bags Dog Poop Bag Bone Dispenser with Leash Clip Puppy Dog Products Supplies 5Roll(75Pcs) Bags","4.8","2976","164 sold","39"
"Cat Toys Cleaning Teeth Silvervine Chew Stick Pet Snacks Sticks Natural Stuff with Catnip for Kitten  Catnip Teasing Chew Toys","4.8","582","1,000+ sold","552"
"Bathroom Puppy Big Dog Cat Bath Massage Gloves Brush Soft Safety Silicone Pet Accessories for Dogs Cats Tools Mascotas Products","4.8","507","3,000+ sold","2568"
"Waterproof Pet Mat for Dog Cat Silicone Pet Food Pad Pet Bowl Drinking Mat Dog Feeding Placemat easy Washing","4.8","59970","18 sold","9"
"Cat Steam Brush Steamy Dog Brush 3 in 1 Electric Spray Cat Hair Brushes for Massage Pet Grooming Comb Hair Removal Combs","4.8","145","70 sold","103"
"2pcs/3pcs Pet Knot Toy For Dog & Cat, Carrot Shape Dog Chew Toys, Cotton Rope Toys For Indoor Dogs, Cat Toys","0.0","191","8 sold","4"
"Pet door opening cat dog two way free access door opening suitable for installation of glass doors and wooden doors","4.3","602","5 sold","153"
"Waste Bags Dispenser Flashlight Poop Break Holder Supplies Shape Garbage Carrier Pick-Up Leash Outdoor for Dog","0.0","16","2 sold","5"
"Pet Dog Sofa Bed Winter Warm Soft Nest Puppy Baskets Mat Kennel For Large Medium Small Dog Animals Accessories Supplies","4.0","21","23 sold","946"
"Degradable Dog Poop Bag Dispenser LED light Waste Bags Holder Dispensers Poop Bags Set Dogs Trash Pets Clean Accessories","5.0","8","4 sold","5"
"Dog Shock Collar - Dog Training Collar for Dogs (8-140lbs) with Vibration, Electric Shock, Beep,Rechargeable and Waterproof with","5.0","39990","9 sold","45"
"Pet Toy Plush Sounding Pentagram Toy Pet Playing Fun Dog Toys Cat Toys Pet Supplies","4.9","327","134 sold","61"
"Dog Poop Bags Dispenser LED Light Dog Waste Bag Holder Disposable Garbage Bag Case for Dogs Cats Outdoor Pets Clean Accessories","5.0","35","2 sold","3"
"Pet Cat Bowl Automatic Feeder Water Dispenser Dog Cat Food Bowl with Drinking Raised Stand Double Dish Bowls for Cats Dogs Pet","3.7","3933","45 sold","15"
"Cat Automatic Water Dispenser Intelligent Water Supply Power Off with LED Lights USB Rechargeable Electric Pet Drinking Supplies","0.0","39987","13 sold","8"
"51-Inch Cat Tree Pet House with Hammock Scratching Post Tower","0.0","6","9 sold","42"
"Pet Dog Treat Pouch Poop Dispenser Portable Multifunction Dog training bag Outdoor Travel Dog Bag Durable Pet accessories","4.9","258","333 sold","598"
